subj,b_name,a_name,b_offA,a_on_c,a_off_c,rolling_b_on_c,rolling_b_off_c
p2np_s108,baby,panda,155.2203049,84.11463065,-41.23332986,-31.78877321,141.062145
p2np_s108,wolf,ridder,178.4600474,215.4395566,286.9909401,-143.0382843,-0.095879034
p2np_s108,cactus,rits,110.5704927,-79.97942435,-19.54179786,-131.6413859,166.097525
p2np_s108,ladder,schaar,114.2234079,-93.20905435,-61.84648486,-139.4745322,220.711887
p2np_s108,wortel,vlieg,242.009648,-133.9487974,-150.5433999,-59.70488791,242.525914
p2np_s108,lamp,zebra,145.0209683,41.10789965,108.7207021,-95.11231601,26.18604997
p2np_s108,doolhof,zee,219.3954787,-48.85488735,-98.65678186,-155.9498124,183.276549
p2np_s110,been,mand,167.0911817,112.8524846,16.27827814,-45.41534331,108.611892
p2np_s110,kikker,masker,94.77424208,39.72150165,66.25125814,-66.77877091,213.782024
p2np_s110,doos,nagel,163.1919259,34.48353865,67.38789014,-57.30168401,110.95766
p2np_s110,tang,pan,259.5241978,130.7077866,-113.0542979,-164.5636172,251.582115
p2np_s110,baby,panda,231.7600039,84.11463065,-41.23332986,-79.26652131,38.44504497
p2np_s110,wolf,ridder,138.0954578,215.4395566,286.9909401,-54.07958651,40.14413797
p2np_s110,cactus,rits,171.0002945,-79.97942435,-19.54179786,-65.60620181,146.405259
p2np_s110,ladder,schaar,248.1956077,-93.20905435,-61.84648486,-159.0107785,225.449802
p2np_s110,tandarts,schaduw,122.7279863,-168.5355244,-36.79339986,-50.89184841,-83.10541003
p2np_s110,wortel,vlieg,268.0454738,-133.9487974,-150.5433999,-77.06453061,106.461877
p2np_s110,kast,vliegtuig,58.35968024,-85.49030435,153.3887581,-2.145982406,255.539878
p2np_s110,lamp,zebra,311.5601222,41.10789965,108.7207021,8.189692994,74.01146397
p2np_s110,doolhof,zee,285.0360854,-48.85488735,-98.65678186,-44.38093011,165.528891
p2np_s111,duif,hemd,230.7533864,-20.50488735,-60.65985286,-2.340147106,-5.082641034
p2np_s111,duivel,herder,148.0853894,-38.56322035,-52.78658886,-56.04718991,218.001999
p2np_s111,been,mand,162.0749559,112.8524846,16.27827814,-35.38127881,519.714387
p2np_s111,kikker,masker,127.1523995,39.72150165,66.25125814,25.48466409,81.71284597
p2np_s111,kip,naald,151.8484959,226.8459456,215.5473231,-59.31280691,293.675403
p2np_s111,doos,nagel,175.4821476,34.48353865,67.38789014,-14.91241511,50.61271097
p2np_s111,tang,pan,346.463117,130.7077866,-113.0542979,-54.33907611,196.187663
p2np_s111,baby,panda,236.3988408,84.11463065,-41.23332986,-32.15687841,380.210301
p2np_s111,wolf,ridder,147.0262612,215.4395566,286.9909401,-4.086725106,184.608764
p2np_s111,ladder,schaar,199.7355653,-93.20905435,-61.84648486,-14.44976911,149.145246
p2np_s111,tandarts,schaduw,158.2578171,-168.5355244,-36.79339986,45.61889599,6.384603966
p2np_s111,wortel,vlieg,258.9289763,-133.9487974,-150.5433999,-58.84510321,212.238555
p2np_s111,lamp,zebra,393.1102328,41.10789965,108.7207021,-70.41739071,195.979128
p2np_s112,duif,hemd,235.2862543,-20.50488735,-60.65985286,-15.94999631,202.906893
p2np_s112,duivel,herder,221.8652897,-38.56322035,-52.78658886,-8.143324506,194.933272
p2np_s112,been,mand,242.317799,112.8524846,16.27827814,56.73525979,-114.368077
p2np_s112,kikker,masker,166.684996,39.72150165,66.25125814,94.37519589,134.035803
p2np_s112,kip,naald,247.2138319,226.8459456,215.5473231,2.892734294,182.742009
p2np_s112,doos,nagel,175.6311723,34.48353865,67.38789014,85.40928709,237.10234
